    ÿÿÿÿ          Ò*60	 : 34.80061	 : ChickenWithRice
7830	 : 1362.287	 : ChickenWithRice
7905	 : 1375.259	 : TacosAlPastor
7960	 : 1383.287	 : Sandwich
8050	 : 1398.802	 : FriedShrimps
8100	 : 1401.445	 : TunaPasta
8170	 : 1420.223	 : SalmonWithPotatoes
8255	 : 1434.978	 : Lasagna
8335	 : 1441.804	 : GourmetHamburger
8395	 : 1456.438	 : ChickenWithRice
8490	 : 1471.573	 : Sushi
8545	 : 1477.259	 : Sandwich
8620	 : 1493.054	 : TacosAlPastor
8700	 : 1507.749	 : GourmetHamburger
8775	 : 1514.715	 : TacosAlPastor
8840	 : 1529.31	 : OmeletteCheese
8890	 : 1538.819	 : EggsWithVegetables
8955	 : 1549.93	 : OmeletteCheese
9045	 : 1565.865	 : FriedShrimps
9095	 : 1568.388	 : TunaPasta
9180	 : 1587.066	 : Lasagna
9235	 : 1602.121	 : Sandwich
9285	 : 1607.746	 : ScrambledEggs
9335	 : 1623.161	 : ScrambledEggs
9405	 : 1639.157	 : SalmonWithPotatoes
9455	 : 1644.382	 : ScrambledEggs
9540	 : 1660.097	 : Lasagna
9590	 : 1675.392	 : ScrambledEggs
9685	 : 1681.278	 : Sushi
9735	 : 1690.987	 : EggsWithVegetables
9785	 : 1707.063	 : TunaPasta
9855	 : 1712.148	 : SalmonWithPotatoes
9905	 : 1732.568	 : ScrambledEggs
9965	 : 1744.479	 : ChickenWithRice
10030	 : 1753.248	 : OmeletteCheese
10120	 : 1769.083	 : FriedShrimps
10180	 : 1779.794	 : ChickenWithRice
10230	 : 1784.899	 : EggsWithVegetables
10310	 : 1805.259	 : GourmetHamburger
10370	 : 1817.11	 : ChickenWithRice
10455	 : 1825.979	 : Lasagna
10530	 : 1841.734	 : TacosAlPastor
10620	 : 1852.305	 : FriedShrimps
10675	 : 1863.055	 : Sandwich
10725	 : 1868.44	 : TunaPasta
10815	 : 1888.7	 : FriedShrimps
10910	 : 1899.291	 : Sushi
10965	 : 1911.062	 : Sandwich
11030	 : 1925.016	 : OmeletteCheese
11095	 : 1936.987	 : OmeletteCheese
11170	 : 1947.257	 : TacosAlPastor
11235	 : 1961.631	 : OmeletteCheese
11300	 : 1972.142	 : OmeletteCheese
11365	 : 1983.913	 : OmeletteCheese
11415	 : 1997.907	 : ScrambledEggs
7142.638 : 2009.678     : GourmetHamburger
7192.638 : 2012.321       : TunaPasta
7242.638 : 2029.057       : EggsWithVegetable
